Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor m2;Tipo Agregado
Apartamento;Barra da Tijuca;4;4;4;319;10800.0;2800.0;1200.0;33.86;Apartamento
Apartamento;Barra da Tijuca;5;6;5;460;14000.0;2300.0;20000.0;30.43;Apartamento
Apartamento;Ipanema;2;2;2;100;12000.0;3000.0;500.0;120.0;Apartamento
Apartamento;Barra da Tijuca;4;3;4;333;20000.0;4300.0;9000.0;60.06;Apartamento
Apartamento;Barra da Tijuca;4;3;4;300;18000.0;2616.0;2460.0;60.0;Apartamento
Apartamento;Leblon;2;2;2;138;16500.0;2250.0;6199.0;119.57;Apartamento
Apartamento;Lagoa;5;0;2;367;16000.0;2668.0;1423.0;43.6;Apartamento
Apartamento;São Conrado;3;3;3;270;14999.0;2800.0;1200.0;55.55;Apartamento
Casa de Vila;Copacabana;6;0;1;250;5500.0;300.0;408.0;22.0;Casa
Apartamento;Leblon;5;4;5;363;30000.0;4700.0;2078.0;82.64;Apartamento
Apartamento;Leblon;4;2;2;228;17900.0;5000.0;8006.0;78.51;Apartamento
Apartamento;Lagoa;4;4;2;580;12500.0;2490.0;1.0;21.55;Apartamento
Apartamento;Barra da Tijuca;4;4;3;350;17000.0;2350.0;12440.0;48.57;Apartamento
Casa de Condomínio;Barra da Tijuca;4;3;4;850;35000.0;1900.0;2300.0;41.18;Casa
Apartamento;Barra da Tijuca;3;4;3;249;22000.0;4800.0;148.0;88.35;Apartamento
Apartamento;Flamengo;4;2;2;430;12000.0;3000.0;1254.0;27.91;Apartamento
Apartamento;Barra da Tijuca;4;3;2;182;10000.0;3800.0;11000.0;54.95;Apartamento
Apartamento;Ipanema;3;2;1;220;45000.0;3750.0;600.0;204.55;Apartamento
Apartamento;Ipanema;3;1;1;150;10000.0;2000.0;535.0;66.67;Apartamento
Apartamento;Lagoa;4;1;4;300;23000.0;3500.0;2100.0;76.67;Apartamento
Apartamento;Barra da Tijuca;3;4;2;200;15000.0;2800.0;0.0;75.0;Apartamento
Apartamento;Barra da Tijuca;4;3;3;378;10000.0;2900.0;2245.0;26.46;Apartamento
Apartamento;Ipanema;4;3;3;556;23000.0;9800.0;0.0;41.37;Apartamento
Casa;Barra da Tijuca;5;3;5;960;50000.0;2150.0;2200.0;52.08;Casa
Apartamento;Ipanema;4;3;4;175;25000.0;3710.0;990.0;142.86;Apartamento
Apartamento;Ipanema;4;2;1;200;12000.0;1900.0;700.0;60.0;Apartamento
Apartamento;Leblon;3;2;2;180;11000.0;3800.0;750.0;61.11;Apartamento
Apartamento;Leblon;3;1;2;220;10500.0;1140.0;490.0;47.73;Apartamento
Apartamento;São Conrado;4;2;3;309;10000.0;3553.0;1200.0;32.36;Apartamento
Apartamento;Barra da Tijuca;4;3;4;270;20000.0;5608.0;0.0;74.07;Apartamento
Apartamento;Ipanema;4;2;4;340;30100.0;5708.0;18700.0;88.53;Apartamento
Apartamento;Botafogo;4;4;4;750;16000.0;4800.0;2100.0;21.33;Apartamento
Apartamento;Ipanema;3;2;1;170;14000.0;1900.0;452.0;82.35;Apartamento
Apartamento;São Conrado;4;2;2;366;10000.0;2712.0;1073.0;27.32;Apartamento
Apartamento;Barra da Tijuca;4;4;4;260;14000.0;2977.0;800.0;53.85;Apartamento
Apartamento;Barra da Tijuca;4;3;4;290;20000.0;4900.0;1800.0;68.97;Apartamento
Apartamento;Ipanema;3;3;2;200;15500.0;3500.0;986.0;77.5;Apartamento
Apartamento;Ipanema;4;2;1;450;17000.0;4500.0;1500.0;37.78;Apartamento
Apartamento;Ipanema;4;3;3;180;14000.0;4000.0;720.0;77.78;Apartamento
Apartamento;Ipanema;4;3;3;200;25000.0;3500.0;1300.0;125.0;Apartamento
Casa;Barra da Tijuca;4;6;4;500;25000.0;0.0;1298.0;50.0;Casa
Apartamento;Leblon;3;2;2;127;16500.0;2230.0;0.0;129.92;Apartamento
Apartamento;Leblon;3;2;0;170;12000.0;2800.0;49.0;70.59;Apartamento
Apartamento;Leblon;4;2;2;370;18900.0;4670.0;1100.0;51.08;Apartamento
Apartamento;Ipanema;5;1;2;380;12000.0;4000.0;1400.0;31.58;Apartamento
Apartamento;Barra da Tijuca;5;4;4;210;11000.0;1800.0;0.0;52.38;Apartamento
Apartamento;Ipanema;2;1;2;110;14000.0;1386.0;2700.0;127.27;Apartamento
Apartamento;Ipanema;5;2;3;302;16000.0;2100.0;0.0;52.98;Apartamento
Apartamento;Ipanema;4;2;2;220;14900.0;4360.0;0.0;67.73;Apartamento
Apartamento;Copacabana;5;2;0;406;22500.0;3899.0;7062.0;55.42;Apartamento
Apartamento;Ipanema;4;2;1;305;15000.0;2085.0;8500.0;49.18;Apartamento
Apartamento;Leblon;3;1;2;450;100000.0;2400.0;0.0;222.22;Apartamento
Casa;Barra da Tijuca;4;10;3;750;50000.0;2000.0;0.0;66.67;Casa
Apartamento;Copacabana;3;1;2;290;11000.0;1980.0;500.0;37.93;Apartamento
Apartamento;Leblon;4;3;1;170;11000.0;2942.0;0.0;64.71;Apartamento
Casa;Recreio dos Bandeirantes;5;8;3;1200;25000.0;1300.0;900.0;20.83;Casa
Casa;Botafogo;10;2;4;700;25000.0;0.0;19461.0;35.71;Casa
Apartamento;Lagoa;4;3;4;180;25000.0;3080.0;1270.0;138.89;Apartamento
Apartamento;Lagoa;3;4;2;380;25000.0;5500.0;1700.0;65.79;Apartamento
Casa de Condomínio;Barra da Tijuca;4;4;4;600;38000.0;1100.0;15000.0;63.33;Casa
Apartamento;Copacabana;2;1;2;236;10000.0;2870.0;8660.0;42.37;Apartamento
Apartamento;Ipanema;4;2;1;297;12000.0;2800.0;700.0;40.4;Apartamento
Apartamento;São Conrado;4;4;4;510;22000.0;6600.0;0.0;43.14;Apartamento
Apartamento;Ipanema;3;2;3;240;35000.0;4500.0;0.0;145.83;Apartamento
Apartamento;Barra da Tijuca;3;3;3;194;12000.0;1800.0;450.0;61.86;Apartamento
Apartamento;Copacabana;3;2;1;255;10000.0;2100.0;340.0;39.22;Apartamento
Apartamento;Ipanema;3;2;3;240;17000.0;2000.0;480.0;70.83;Apartamento
Apartamento;Barra da Tijuca;4;3;2;231;13000.0;4500.0;0.0;56.28;Apartamento
Apartamento;Ipanema;3;1;1;200;17000.0;3019.0;900.0;85.0;Apartamento
Apartamento;Leblon;3;4;3;350;16000.0;3800.0;1500.0;45.71;Apartamento
Apartamento;Ipanema;5;2;2;300;16000.0;2100.0;0.0;53.33;Apartamento
Apartamento;Leblon;3;3;1;293;12000.0;3240.0;1612.0;40.96;Apartamento
Apartamento;Barra da Tijuca;4;4;4;435;18000.0;5000.0;1100.0;41.38;Apartamento
Apartamento;Flamengo;5;3;0;800;35000.0;3400.0;2000.0;43.75;Apartamento
Apartamento;Lagoa;4;4;4;285;15000.0;4500.0;0.0;52.63;Apartamento
Apartamento;Ipanema;4;2;3;380;30000.0;2300.0;0.0;78.95;Apartamento
Apartamento;Leblon;4;2;1;150;13900.0;1800.0;370.0;92.67;Apartamento
Apartamento;Leblon;2;3;1;170;11000.0;3000.0;0.0;64.71;Apartamento
Apartamento;Barra da Tijuca;4;4;2;500;28000.0;8000.0;2000.0;56.0;Apartamento
Apartamento;Ipanema;2;1;1;100;10900.0;4400.0;400.0;109.0;Apartamento
Apartamento;Lagoa;4;4;2;370;25000.0;4900.0;1700.0;67.57;Apartamento
Apartamento;Leme;3;1;1;240;10000.0;1300.0;500.0;41.67;Apartamento
Apartamento;Lagoa;5;2;2;490;18000.0;2420.0;950.0;36.73;Apartamento
Quitinete;Botafogo;1;1;0;64;4000.0;0.0;0.0;62.5;Apartamento
Apartamento;Ipanema;3;0;2;205;20000.0;3020.0;1200.0;97.56;Apartamento
Apartamento;Ipanema;3;2;2;230;29500.0;3200.0;0.0;128.26;Apartamento
Apartamento;São Conrado;5;3;3;302;11000.0;3800.0;650.0;36.42;Apartamento
Apartamento;Leblon;4;2;2;220;17000.0;6000.0;762.0;77.27;Apartamento
Apartamento;Copacabana;3;2;1;300;25000.0;2700.0;1400.0;83.33;Apartamento
Apartamento;Ipanema;4;1;1;230;13500.0;1700.0;795.0;58.7;Apartamento
Apartamento;Ipanema;3;2;1;140;10800.0;1917.0;181.0;77.14;Apartamento
Casa;Barra da Tijuca;6;4;5;600;29000.0;1300.0;0.0;48.33;Casa
Apartamento;Ipanema;3;1;2;250;11500.0;2300.0;1037.0;46.0;Apartamento
Apartamento;Laranjeiras;4;1;0;308;13500.0;1700.0;0.0;43.83;Apartamento
Apartamento;Ipanema;4;0;1;200;10900.0;3700.0;923.0;54.5;Apartamento
Apartamento;Barra da Tijuca;5;4;5;1200;24000.0;7700.0;5800.0;20.0;Apartamento
Apartamento;Barra da Tijuca;5;4;5;1147;28000.0;7000.0;55000.0;24.41;Apartamento
Apartamento;Ipanema;2;1;1;132;15000.0;1500.0;320.0;113.64;Apartamento
Apartamento;Barra da Tijuca;5;4;5;1147;24000.0;8451.0;60977.0;20.92;Apartamento
Apartamento;Leblon;2;1;1;164;10000.0;2600.0;450.0;60.98;Apartamento
Casa;São Conrado;4;3;2;450;45000.0;2650.0;5900.0;100.0;Casa
